,ProductID,Description,Name,Type,Color,Size,Image
336,399.030.41,Concealed storage under the seat.,POPPTORP,Armchair with cushion,"White,black",Not known,images/chair/399.030.41.jpg
337,802.726.43,"Cotton, soft and nice against your child's skin.",BENRANGEL,Quilt cover and pillowcase,"Blue,grey","150x200,50x80 cm",images/objects/802.726.43.jpg
338,202.726.84,"The latex backing keeps the rug in place when the child runs,plays on it.",UTFORSKA,"Rug, low pile",Black,100 cm,images/objects/202.726.84.jpg
339,603.209.56,The polyester filling holds its shape and gives your body soft support.,MATTRAM,Cushion,"White,black",30x60 cm,images/objects/603.209.56.jpg
340,901.524.47,The lamp has got double function - you can use it as a clamp spotlight or assemble it on the wall as a wall lamp.,KVART,"Wall,clamp spotlight",Black,Not known,images/objects/901.524.47.jpg
341,303.237.82,"Perfect for newspapers, photos or other memorabilia.",TJENA,Box with lid,Light blue,32x35x32 cm,images/objects/303.237.82.jpg
342,702.921.04,The picture ledge has a special groove to keep smaller frames at the perfect angle.,MOSSLANDA,Picture ledge,Black,115 cm,images/objects/702.921.04.jpg
343,303.003.61,"Can be used hanging or standing, both horizontally and vertically, to fit in the space available.",FISKBO,Frame,Blue,13x18 cm,images/objects/303.003.61.jpg
344,903.191.88,You can personalise your home with artwork that expresses your style.,KOPPARFALL,Picture,New york destinations,32x72 cm,images/objects/903.191.88.jpg
345,903.111.54,Motif created by Joni Whyte.,KLTTA,Decoration stickers,Wall collage frames,Not known,images/objects/903.111.54.jpg
346,503.109.34,"This world map is both a decorative picture and a handy blackboard for planning your next trip, for example.",KLTTA,Decoration stickers,Blackboard world,60x103 cm,images/objects/503.109.34.jpg
347,603.057.05,Comes with 2 drawers for a roomy storage space.,BUSUNGE,Chest of 2 drawers,White,80x75 cm,images/objects/603.057.05.jpg
348,203.057.07,You can adjust the height of the clothes rail and shelves as your child grows.,BUSUNGE,Wardrobe,White,80x139 cm,images/objects/203.057.07.jpg
349,502.725.50,"Cotton, soft and nice against your child's skin.",SPELPLAN,Quilt cover and pillowcase,Green,"150x200,50x80 cm",images/objects/502.725.50.jpg
350,503.022.36,Light and easy for your child to carry and play with.,LATTJO,Dice,Inflatable,Not known,images/objects/503.022.36.jpg
351,903.013.29,Trying to hit targets helps develop the child's ability to estimate distances and coordinate movements.,LATTJO,Throwing game,Not known,Not known,images/objects/903.013.29.jpg
352,702.783.01,The boxes take little room to store away when youre not using them as they fold flat.,NANIG,Box,Light green,38x21x15 cm,images/objects/702.783.01.jpg
353,990.327.90,Deep enough to hold standard-sized adult hangers.,STUVA,Storage combination with bench,"White,birch",150x50x192 cm,images/objects/990.327.90.jpg
354,956.851.00,Fits in TROFAST frames.,TROFAST,Storage box,White,42x30x23 cm,images/objects/956.851.00.jpg
355,503.201.98,"Honk and drive! On this rug there are roads, parking spaces, traffic signs and railroads  just like in a city. Perfect to combine with toy cars and figures from the LILLABO series.",STORABO,Rug,Green,75x133 cm,images/objects/503.201.98.jpg
356,802.962.29,"Made from 100% cotton, a natural material thats soft against your childs skin and gets softer with every wash.",STICKAT,Quilt cover and pillowcase,"Orange,yellow","150x200,50x80 cm",images/objects/802.962.29.jpg
357,102.563.83,Develops fine motor skills and logical thinking.,LILLABO,Toy car,Red,Not known,images/objects/102.563.83.jpg
358,401.714.72,Possible to create lots of combinations.,LILLABO,Toy vehicle,Assorted colours,Not known,images/objects/401.714.72.jpg
359,002.392.33,A good solution where space is limited.,TUFFING,Bunk bed frame,Not known,90x200 cm,images/objects/002.392.33.jpg
360,002.392.33,A good solution where space is limited.,TUFFING,Bunk bed frame,Not known,90x200 cm,images/objects/002.392.33.jpg
361,102.731.27,"Cotton, soft and nice against your child's skin.",LCKERT,Quilt cover and pillowcase,Grey,"150x200,50x80 cm",images/objects/102.731.27.jpg
362,890.066.16,Deep enough to hold standard-sized adult hangers.,STUVA,Storage combination,"White,white",210x50x192 cm,images/objects/890.066.16.jpg
363,290.428.77,"A playful and sturdy storage series for storing and organising toys, sitting, playing and relaxing.",TROFAST,Storage combination with boxes,White,99x44x94 cm,images/objects/290.428.77.jpg
364,302.249.04,Concealed storage under the seat.,POPPTORP,Armchair,White,Not known,images/chair/302.249.04.jpg
365,802.725.63,"The latex backing keeps the rug in place when the child runs,plays on it.",SPRINGA,"Rug, low pile",Red,133x160 cm,images/objects/802.725.63.jpg
366,402.962.93,Clever storage solution that you can hang on our childrens beds.,STICKAT,Bed pocket,Green,39x30 cm,images/objects/402.962.93.jpg
367,702.925.71,"The clock has a blackboard face, so you can write or draw pictures of activities next to the hours to help your child learn about time.",PLADDRA,Wall clock,"Black,yellow",Not known,images/objects/702.925.71.jpg
368,790.226.93,"With this loft bed you get a complete solution for your childs room  including desk, wardrobe and open shelf unit.",STUVA,"Loft bed combo w 3 drawers,2 doors",White,207x99x193 cm,images/objects/790.226.93.jpg
369,790.226.93,"With this loft bed you get a complete solution for your childs room  including desk, wardrobe and open shelf unit.",STUVA,"Loft bed combo w 3 drawers,2 doors",White,207x99x193 cm,images/objects/790.226.93.jpg
370,302.651.12,KNOPPARP sofa is very durable thanks to the metal construction and strong supporting fabric.,KNOPPARP,Two-seat sofa,Grey,Not known,images/couch/302.651.12.jpg
371,302.651.12,KNOPPARP sofa is very durable thanks to the metal construction and strong supporting fabric.,KNOPPARP,Two-seat sofa,Grey,Not known,images/couch/302.651.12.jpg
372,802.415.38,"This frame puts a decorative ring of light around your childs latest diploma, picture of a pet or favourite band and creates a personal and cosy atmosphere in the room.",LJUSNING,Frame with LED lighting,White,24 cm,images/objects/802.415.38.jpg
373,102.534.88,This decorative lighting chain with coloured balls in different sizes creates a unique atmosphere in the room.,FINFIN,LED decoration light chain 15 balls,Not known,Not known,images/objects/102.534.88.jpg
374,002.579.53,The cot base can be placed at two different heights.,GONATT,Cot,Light grey,60x120 cm,images/objects/002.579.53.jpg
375,202.902.06,"Cotton, soft and nice to baby skin.",CHARMTROLL,"Quilt,blanket","Beige,white",85x115 cm,images/objects/202.902.06.jpg
376,490.473.41,A range of coordinated covers makes it easy for you to give your furniture a new look.,JENNYLUND,Armchair,Stensa white,Not known,images/chair/490.473.41.jpg
377,901.638.65,The textile shade provides a diffused and decorative light.,RSTID,Floor lamp,"Nickel-plated,white",Not known,images/objects/901.638.65.jpg
378,602.811.44,The zipper makes the cover easy to remove.,GURLI,Cushion cover,Grey,50x50 cm,images/objects/602.811.44.jpg
379,402.176.77,The adjustable shelf is extra heat- and impact-resistant and has a high load-bearing capacity since it is made of tempered glass.,HEMNES,Mirror cabinet with 2 doors,White,83x16x98 cm,images/mirror/402.176.77.jpg
380,402.176.77,The adjustable shelf is extra heat- and impact-resistant and has a high load-bearing capacity since it is made of tempered glass.,HEMNES,Mirror cabinet with 2 doors,White,83x16x98 cm,images/mirror/402.176.77.jpg
381,002.030.93,10 year guarantee. Read about the terms in the guarantee brochure.,GRANSKR,Wash-basin mixer tap with strainer,Chrome-plated,Not known,images/objects/002.030.93.jpg
382,002.387.66,Gives a diffused light; good for spreading light into larger areas of a bathroom.,VITEMLLA,Wall lamp,"Metal,glass",Not known,images/objects/002.387.66.jpg
383,802.339.63,"Helps you organise detergent or soap at the sink bowl, so you always have it close at hand when needed.",BESTENDE,Detergent dispenser,Clear glass,3.5 dl,images/objects/802.339.63.jpg
384,702.176.85,You can move the shelves and adjust the spacing according to your personal needs.,HEMNES,High cabinet with mirror door,White,49x31x200 cm,images/mirror/702.176.85.jpg
385,702.176.85,You can move the shelves and adjust the spacing according to your personal needs.,HEMNES,High cabinet with mirror door,White,49x31x200 cm,images/mirror/702.176.85.jpg
386,201.906.26,"A terry towel that is extra thick and soft and highly absorbent (weight 600 g,m).",FJRDEN,Bath towel,White,70x140 cm,images/objects/201.906.26.jpg
387,900.990.49,"Can be used anywhere in your home, even in damp areas like the bathroom and under covered balconies.",KNODD,Bin with lid,White,16 l,images/objects/900.990.49.jpg
388,702.034.00,"Ultra soft, absorbent and quick to dry since it's made of microfibre.",TOFTBO,Bath mat,White,60x90 cm,images/objects/702.034.00.jpg
389,790.204.63,You can move the shelf and adjust the spacing according to your personal needs.,SILVERN,Corner unit,White,40 cm,images/objects/790.204.63.jpg
390,590.062.60,"The included water trap is easy to connect to the drain, washing machine and dryer because it is flexible.","SILVERN,HAMNVIKEN",Wash-basin cabinet with 1 door,White,40x45x91 cm,images/objects/590.062.60.jpg
391,302.680.02,"May be used as a shelf for a soap dish and toothbrush mug, thanks to the depth of the frame.",SILVERN,Mirror with shelf,White,36x64 cm,images/mirror/302.680.02.jpg
392,302.680.02,"May be used as a shelf for a soap dish and toothbrush mug, thanks to the depth of the frame.",SILVERN,Mirror with shelf,White,36x64 cm,images/mirror/302.680.02.jpg
393,602.621.26,10 year guarantee. Read about the terms in the guarantee brochure.,RUNSKR,Wash-basin mixer tap with strainer,Chrome-plated,Not known,images/objects/602.621.26.jpg
394,603.247.99,Densely-woven polyester fabric with water-repellent coating.,ROSENFIBBLA,Shower curtain,"White,floral pattern",180x180 cm,images/objects/603.247.99.jpg
395,903.132.28,The anti-slip backing keeps the bath mat firmly in place and reduces the risk of slipping.,SUSEN,Bath mat,White,60x90 cm,images/objects/903.132.28.jpg
396,503.132.25,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",SALVIKEN,Bath towel,White,70x140 cm,images/objects/503.132.25.jpg
397,501.591.77,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath towel,Grey,70x140 cm,images/objects/501.591.77.jpg
398,701.591.76,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath towel,Beige,70x140 cm,images/objects/701.591.76.jpg
399,302.643.82,Two functions in one - towel rail and hooks.,SVARTSJN,Towel rail,Black,46 cm,images/objects/302.643.82.jpg
400,803.281.45,Seagrass has natural colour variations which makes every basket unique.,FRYKEN,"Box with lid, set of 3",Seagrass,Not known,images/objects/803.281.45.jpg
401,890.234.99,Bathroom mixer tap is sold separately. GODMORGON legs are sold separately. 10 year guarantee. Read about the terms in the guarantee brochure.,"GODMORGON,ODENSVIK",Wash-stand with 2 drawers,White,60x49x64 cm,images/objects/890.234.99.jpg
402,602.418.17,Can be hung horizontally or vertically.,MOLGER,Mirror,Dark brown,80x60 cm,images/mirror/602.418.17.jpg
403,602.418.17,Can be hung horizontally or vertically.,MOLGER,Mirror,Dark brown,80x60 cm,images/mirror/602.418.17.jpg
404,502.480.70,Provides an even light that is good for illuminating around a mirror and sink.,SDERSVIK,LED wall lamp,Not known,Not known,images/objects/502.480.70.jpg
405,402.414.08,Easy to move - castors included.,MOLGER,Trolley,Dark brown,33x47x76 cm,images/objects/402.414.08.jpg
406,002.423.58,The open shelves give an easy overview and easy reach.,MOLGER,Wall shelf,Dark brown,68x54 cm,images/objects/002.423.58.jpg
407,102.414.19,The open shelves give an easy overview and easy reach.,MOLGER,Open storage,Dark brown,68x18x182 cm,images/objects/102.414.19.jpg
408,001.592.26,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Hand towel,White,50x100 cm,images/objects/001.592.26.jpg
409,102.638.16,Easy to refill as the dispenser has a wide opening.,ENUDDEN,Soap dispenser,White,Not known,images/objects/102.638.16.jpg
410,701.592.04,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath sheet,White,100x150 cm,images/objects/701.592.04.jpg
411,001.125.40,"The transparent jar makes it easy to find what you are looking for, regardless of where it is placed.",DROPPAR,Jar with lid,"Frosted glass,stainless steel",0.4 l,images/objects/001.125.40.jpg
412,402.226.07,Helps you organise cotton wool and hair clips.,DRAGAN,2-piece bathroom set,Bamboo,Not known,images/objects/402.226.07.jpg
413,002.813.02,10 year guarantee. Read about the terms in the guarantee brochure.,DALSKR,Wash-basin mixer tap with strainer,Stainless steel colour,Not known,images/objects/002.813.02.jpg
414,699.030.68,Bathroom mixer tap is sold separately. GODMORGON legs are sold separately. 10 year guarantee. Read about the terms in the guarantee brochure.,"GODMORGON,BRVIKEN",Wash-stand with 2 drawers,White stained oak effect,60x49x68 cm,images/objects/699.030.68.jpg
415,602.812.95,10 year guarantee. Read about the terms in the guarantee brochure.,DALSKR,Wash-basin mixer tap with strainer,Chrome-plated,Not known,images/objects/602.812.95.jpg
416,602.886.83,Provided with safety film - reduces damage if glass is broken.,LANGESUND,Mirror,White,50 cm,images/mirror/602.886.83.jpg
417,602.886.83,Provided with safety film - reduces damage if glass is broken.,LANGESUND,Mirror,White,50 cm,images/mirror/602.886.83.jpg
418,502.285.76,Provides an even light that is good for illuminating around a mirror and sink.,STAN,Wall lamp,White,Not known,images/objects/502.285.76.jpg
419,002.033.33,The elastic sewn into the bottom edge adds weight to the curtain and assures that it hangs straight.,UDDGRUND,Shower curtain,"White,black",180x180 cm,images/objects/002.033.33.jpg
420,701.774.77,"Helps you organise your jewellery, make-up and bottles.",GODMORGON,"Box with lid, set of 5",Transparent,24x20x10 cm,images/objects/701.774.77.jpg
421,601.774.73,Helps you organise your jewellery and make-up.,GODMORGON,Box with compartments,Transparent,32x28x10 cm,images/objects/601.774.73.jpg
422,301.591.83,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath towel,White,70x140 cm,images/objects/301.591.83.jpg
423,202.960.86,"A terry towel that is soft and absorbent (weight 390 g,m).",LNNERN,Hand towel,Multicolour,50x100 cm,images/objects/202.960.86.jpg
424,402.954.01,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath towel,Green,70x140 cm,images/objects/402.954.01.jpg
425,602.484.18,Anti-slip cover on top reduces the risk of slippage.,FRSIKTIG,Children's stool,"White,green",Not known,images/objects/602.484.18.jpg
426,702.977.43,"Practical storage space under the lid for bath toys, towels or shampoo.",SPRUTT,Storage unit,White,32x36 cm,images/objects/702.977.43.jpg
427,102.727.88,"The toilet seat makes potty training easier for your child. Comfortable for little bottoms, with soft curves and edges.",TOSSIG,Toilet seat,"White,green",Not known,images/objects/102.727.88.jpg
428,099.034.53,Bathroom mixer tap is sold separately. GODMORGON legs are sold separately. 10 year guarantee. Read about the terms in the guarantee brochure.,"GODMORGON,ODENSVIK",Wash-stand with 2 drawers,High-gloss white,100x49x64 cm,images/objects/099.034.53.jpg
429,302.713.68,Anti-slip cover on top reduces the risk of slippage.,GLOTTEN,Step stool,"Yellow,white",Not known,images/objects/302.713.68.jpg
430,600.478.96,Fully swivelling to the left or right.,GRUNDTAL,Towel holder 4 bars,Stainless steel,Not known,images/objects/600.478.96.jpg
431,302.495.70,Densely-woven polyester fabric with water-repellent coating.,TVINGEN,Shower curtain,"White,black",180x180 cm,images/objects/302.495.70.jpg
432,502.493.81,Water drains easily through the holes in the bottom.,STUGVIK,Basket with suction cup,White,Not known,images/objects/502.493.81.jpg
433,502.189.64,10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,High cabinet,High-gloss white,40x30x192 cm,images/objects/502.189.64.jpg
434,702.481.25,The LED lightsource consumes up to 85% less energy and lasts 20 times longer than incandescent bulbs.,STORJORM,Mirror with integrated lighting,White,80x60 cm,images/mirror/702.481.25.jpg
435,702.481.25,The LED lightsource consumes up to 85% less energy and lasts 20 times longer than incandescent bulbs.,STORJORM,Mirror with integrated lighting,White,80x60 cm,images/mirror/702.481.25.jpg
436,290.204.65,"The solid pine shows off the attractive grains and beauty mark knots that give each unique piece its own naturally grown, individual personality.",SILVERN,Corner unit,Light brown,40 cm,images/objects/290.204.65.jpg
437,390.203.80,"Bathroom mixer tap is sold separately. The solid pine shows off the attractive grains and beauty mark knots that give each unique piece its own naturally grown, individual personality.","SILVERN,HAMNVIKEN",Wash-basin cabinet with 2 doors,Light brown,60x45x91 cm,images/objects/390.203.80.jpg
438,102.828.29,Lockable. An extra key is included.,GUNNERN,Lockable cabinet,Grey,32x32 cm,images/objects/102.828.29.jpg
439,102.460.25,Gives a diffused light; good for spreading light into larger areas of a bathroom.,VITEMLLA,Ceiling lamp,"Metal,glass",Not known,images/objects/102.460.25.jpg
440,502.094.41,Can be easily cut to the desired length.,EGGEGRUND,Shower curtain,White,180x180 cm,images/objects/502.094.41.jpg
441,601.591.72,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath towel,Black,70x140 cm,images/objects/601.591.72.jpg
442,491.586.97,"Bathroom mixer tap is sold separately. May be used as a shelf for a soap dish and toothbrush mug, thanks to the depth of the frame.","LILLNGEN,TLLEVIKEN",Washbasin cabinet with 2 doors,Black-brown,60x41x87 cm,images/objects/491.586.97.jpg
443,002.051.72,"The mirror comes with safety film on the back, which reduces the risk of injury if the glass is broken.",LILLNGEN,Mirror cabinet with 2 doors,Black-brown,60x21x64 cm,images/mirror/002.051.72.jpg
444,002.051.72,"The mirror comes with safety film on the back, which reduces the risk of injury if the glass is broken.",LILLNGEN,Mirror cabinet with 2 doors,Black-brown,60x21x64 cm,images/mirror/002.051.72.jpg
445,991.553.52,Perfect where space is limited since the cabinet is shallow.,LILLNGEN,High cabinet with 1 door,Black-brown,30x38x194 cm,images/objects/991.553.52.jpg
446,602.813.75,10 year guarantee. Read about the terms in the guarantee brochure.,ENSEN,Wash-basin mixer tap with strainer,Chrome-plated,Not known,images/objects/602.813.75.jpg
447,401.906.11,"A terry towel that is extra thick and soft and highly absorbent (weight 600 g,m).",FJRDEN,Bath towel,Green-blue,70x140 cm,images/objects/401.906.11.jpg
448,802.508.63,The knobs have concealed suspension fittings.,ENUDDEN,Knob,White,Not known,images/objects/802.508.63.jpg
449,903.116.15,"Ultra soft, absorbent and quick to dry since it's made of microfibre.",BADAREN,Bath mat,Beige,55 cm,images/objects/903.116.15.jpg
450,501.819.94,Two-sided woven polyester which gives a soft fall and a decorative pattern on both sides.,SALTGRUND,Shower curtain,White,180x180 cm,images/objects/501.819.94.jpg
451,602.915.10,Easy to refill as the dispenser has a wide opening.,EKOLN,Soap dispenser,Dark grey,Not known,images/objects/602.915.10.jpg
452,702.592.13,Creates atmosphere with a pleasant scent of blossoming romance and warm candlelight.,LUGGA,Scented candle in glass,Blossoming romance pink,7.5 cm,images/objects/702.592.13.jpg
453,702.922.98,Lifelike artificial plant that remain just as fresh-looking year after year.,FEJKA,Artificial potted plant,Orchid pink,9 cm,images/plant_pot/702.922.98.jpg
454,790.971.55,Bathroom mixer tap is sold separately. GODMORGON legs are sold separately. Please note that a silicone kit and a jigsaw are needed to attach the wash-basin to the countertop. Sold separately. 10 year guarantee. Read about the terms in the guarantee brochure.,"GODMORGON,ALDERN,TRNVIKEN",Wsh-stnd w countertop 45 wsh-basin,"White,bamboo",82x49x74 cm,images/objects/790.971.55.jpg
455,401.906.92,"Tempered glass - extra resistant to heat, impact and heavy loads.",GRUNDTAL,Glass shelf,Not known,80 cm,images/objects/401.906.92.jpg
456,101.821.65,"Fittings are adjustable in depth, give space for lighting cords.",GODMORGON,Mirror,Not known,80x96 cm,images/mirror/101.821.65.jpg
457,101.821.65,"Fittings are adjustable in depth, give space for lighting cords.",GODMORGON,Mirror,Not known,80x96 cm,images/mirror/101.821.65.jpg
458,402.112.13,"Ultra soft, absorbent and quick to dry since it's made of microfibre.",TOFTBO,Bath mat,Beige,60x90 cm,images/objects/402.112.13.jpg
459,300.612.47,Concealed suspension fitting.,GRUNDTAL,Hanger,Stainless steel,Not known,images/objects/300.612.47.jpg
460,201.906.74,"A terry towel that is extra thick and soft and highly absorbent (weight 600 g,m).",FJRDEN,Hand towel,White,50x100 cm,images/objects/201.906.74.jpg
461,801.906.14,"A terry towel that is extra thick and soft and highly absorbent (weight 600 g,m).",FJRDEN,Bath towel,Dark beige,70x140 cm,images/objects/801.906.14.jpg
462,702.954.14,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Bath towel,Dark blue,70x140 cm,images/objects/702.954.14.jpg
463,602.033.30,Two-sided woven polyester which gives a soft fall and a decorative pattern on both sides.,SALTGRUND,Shower curtain,Grey,180x180 cm,images/objects/602.033.30.jpg
464,702.714.89,Bamboo is a hardwearing natural material.,DRAGAN,Soap dish,Bamboo,Not known,images/objects/702.714.89.jpg
465,902.714.93,Bamboo is a hardwearing natural material.,DRAGAN,Soap dispenser,Bamboo,Not known,images/objects/902.714.93.jpg
466,302.714.91,Bamboo is a hardwearing natural material.,DRAGAN,Toothbrush holder,Bamboo,Not known,images/objects/302.714.91.jpg
467,302.986.74,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",BOLMN,Bath towel,Multicolour,70x140 cm,images/objects/302.986.74.jpg
468,202.190.31,10 year guarantee. Read about the terms in the guarantee brochure.,OLSKR,Wash-basin mixer tap,Chrome-plated,Not known,images/objects/202.190.31.jpg
469,602.976.25,"May be used as a shelf for a soap dish and toothbrush mug, thanks to the depth of the frame.",TYNGEN,Mirror with shelf,"White,ash effect",40x12x50 cm,images/mirror/602.976.25.jpg
470,602.976.25,"May be used as a shelf for a soap dish and toothbrush mug, thanks to the depth of the frame.",TYNGEN,Mirror with shelf,"White,ash effect",40x12x50 cm,images/mirror/602.976.25.jpg
471,202.986.84,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",BOLMN,Washcloth,Multicolour,30x30 cm,images/objects/202.986.84.jpg
472,502.213.01,"Ultra soft, absorbent and quick to dry since it's made of microfibre.",TOFTBO,Bath mat,Grey,60x90 cm,images/objects/502.213.01.jpg
473,702.640.02,Seagrass has natural colour variations which makes every basket unique.,SLNAN,Basket,Seagrass,16x16x9 cm,images/objects/702.640.02.jpg
474,102.640.00,Seagrass has natural colour variations which makes every basket unique.,SLNAN,Basket,Seagrass,25x16x16 cm,images/objects/102.640.00.jpg
475,702.986.86,Densely-woven polyester fabric with water-repellent coating.,BOLMN,Shower curtain,Multicolour,180x180 cm,images/objects/702.986.86.jpg
476,699.031.05,Bathroom mixer tap is sold separately. Smooth-running and soft-closing drawers with pull-out stop.,"HEMNES,RTTVIKEN",Wash-stand with 2 drawers,White,60x49x89 cm,images/objects/699.031.05.jpg
477,702.176.71,The adjustable shelf is extra heat- and impact-resistant and has a high load-bearing capacity since it is made of tempered glass.,HEMNES,Mirror cabinet with 1 door,White,63x16x98 cm,images/mirror/702.176.71.jpg
478,702.176.71,The adjustable shelf is extra heat- and impact-resistant and has a high load-bearing capacity since it is made of tempered glass.,HEMNES,Mirror cabinet with 1 door,White,63x16x98 cm,images/mirror/702.176.71.jpg
479,500.774.69,Flexible; can be mounted with the light turned downwards or upwards.,LILLHOLMEN,Wall lamp,"Nickel-plated,white",Not known,images/objects/500.774.69.jpg
480,590.203.84,"Bathroom mixer tap is sold separately. The included water trap is easy to connect to the drain, washing machine and dryer because it is flexible.","SILVERN,HAMNVIKEN",Wash-basin cabinet with 2 doors,White,60x45x91 cm,images/objects/590.203.84.jpg
481,102.679.99,You can mount the door to open from the right or left.,SILVERN,Mirror cabinet,White,60x14x68 cm,images/mirror/102.679.99.jpg
482,102.679.99,You can mount the door to open from the right or left.,SILVERN,Mirror cabinet,White,60x14x68 cm,images/mirror/102.679.99.jpg
483,600.937.65,"Removable shelves, easy to clean.",RNNSKR,Corner shelf unit,Black,Not known,images/objects/600.937.65.jpg
484,701.906.38,"A terry towel that is extra thick and soft and highly absorbent (weight 600 g,m).",FJRDEN,Bath sheet,White,100x150 cm,images/objects/701.906.38.jpg
485,801.906.28,"A terry towel that is extra thick and soft and highly absorbent (weight 600 g,m).",FJRDEN,Bath sheet,Green-blue,100x150 cm,images/objects/801.906.28.jpg
486,202.643.92,Easy to refill as the dispenser has a wide opening.,SVARTSJN,Soap dispenser,Turquoise,Not known,images/objects/202.643.92.jpg
487,702.433.16,"Collecting newspapers, toys, hats and gloves in baskets makes it easier to find what you need and keeps the room looking neat and uncluttered.",KNARRA,Basket,White,38x29x16 cm,images/objects/702.433.16.jpg
488,501.635.46,"A terry towel in medium thickness that is soft and highly absorbent (weight 400 g,m).",HREN,Bath towel,White,70x140 cm,images/objects/501.635.46.jpg
489,702.231.44,GODMORGON legs are sold separately. 10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,Wash-stand with 2 drawers,High-gloss white,100x47x58 cm,images/objects/702.231.44.jpg
490,301.354.46,10 year guarantee. Read about the terms in the guarantee brochure.,BRVIKEN,Single wash-basin,White,100x49x10 cm,images/objects/301.354.46.jpg
491,603.043.53,10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,Mirror cabinet with 2 doors,Not known,100x14x96 cm,images/mirror/603.043.53.jpg
492,603.043.53,10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,Mirror cabinet with 2 doors,Not known,100x14x96 cm,images/mirror/603.043.53.jpg
493,202.480.00,10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,High cabinet with mirror door,High-gloss white,40x30x192 cm,images/mirror/202.480.00.jpg
494,202.480.00,10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,High cabinet with mirror door,High-gloss white,40x30x192 cm,images/mirror/202.480.00.jpg
495,702.621.21,10 year guarantee. Read about the terms in the guarantee brochure.,DANNSKR,Wash-basin mixer tap with strainer,Chrome-plated,Not known,images/objects/702.621.21.jpg
496,402.481.22,The LED lightsource consumes up to 85% less energy and lasts 20 times longer than incandescent bulbs.,STORJORM,"Mirror cab 2 door,built-in lighting",White,60x14x96 cm,images/mirror/402.481.22.jpg
497,402.481.22,The LED lightsource consumes up to 85% less energy and lasts 20 times longer than incandescent bulbs.,STORJORM,"Mirror cab 2 door,built-in lighting",White,60x14x96 cm,images/mirror/402.481.22.jpg
498,002.087.88,"The glass has a generous shape and weight which makes it pleasant to hold and helps the scents and flavours of the whiskey to develop better, enhancing your experience of the drink.",FRASERA,Whiskey glass,Not known,30 cl,images/objects/002.087.88.jpg
499,198.944.72,Bathroom mixer tap is sold separately. GODMORGON legs are sold separately. 10 year guarantee. Read about the terms in the guarantee brochure.,"GODMORGON,BRVIKEN",Wash-stand with 2 drawers,Black-brown,80x49x68 cm,images/objects/198.944.72.jpg
500,702.189.63,10 year guarantee. Read about the terms in the guarantee brochure.,GODMORGON,High cabinet,Black-brown,40x30x192 cm,images/objects/702.189.63.jpg
501,202.414.09,Easy to move - castors included.,MOLGER,Trolley,Birch,33x47x76 cm,images/objects/202.414.09.jpg
502,902.276.31,"A terry towel in medium thickness that is soft and highly absorbent (weight 550 g,m).",FRGLAV,Bath sheet,"White,dark grey",100x150 cm,images/objects/902.276.31.jpg
503,002.508.95,Provides an even light that is good for illuminating around a mirror and sink.,GODMORGON,"LED cabinet,wall lighting",Not known,40 cm,images/objects/002.508.95.jpg
504,901.592.55,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",FRJEN,Washcloth,Grey,30x30 cm,images/objects/901.592.55.jpg
505,891.175.20,Hooks for towels or other things that you want to have within easy reach.,YDDINGEN,"Wash-stand with 2 drawers,1 door",White,74x90 cm,images/objects/891.175.20.jpg
506,602.400.21,10 year guarantee. Read about the terms in the guarantee brochure.,LUNDSKR,Wash-basin mixer tap with strainer,Chrome-plated,Not known,images/objects/602.400.21.jpg
507,902.994.11,Hooks for towels or other things that you want to have within easy reach.,YDDINGEN,High cabinet,White,45x189 cm,images/objects/902.994.11.jpg
508,402.886.79,Provided with safety film - reduces damage if glass is broken.,LANGESUND,Mirror,Blue,50 cm,images/mirror/402.886.79.jpg
509,402.886.79,Provided with safety film - reduces damage if glass is broken.,LANGESUND,Mirror,Blue,50 cm,images/mirror/402.886.79.jpg
510,202.953.60,"A terry towel in medium thickness that is soft and highly absorbent (weight 500 g,m).",BOKVIK,Bath towel,Multicolour,70x140 cm,images/objects/202.953.60.jpg
